"player_name","age","player_height","player_weight","gp","pts","reb","ast","net_rating","oreb_pct","dreb_pct","usg_pct","ts_pct","ast_pct","season"
"Shawn Bradley",31,228.6,124.7378,81,6.7,5.9,0.7,10,0.098,0.204,0.138,0.601,0.047,"2002-03"
"David Wesley",32,185.42,92.079176,73,16.7,2.4,3.4,2.4,0.016,0.06,0.213,0.533,0.159,"2002-03"
"John Salmons",23,200.66,95.25432,64,2.1,0.9,0.7,2.5,0.039,0.102,0.145,0.502,0.153,"2002-03"
"Chris Mihm",23,213.36,120.20188,52,5.9,4.4,0.5,-8.2,0.13,0.191,0.203,0.462,0.06,"2002-03"
"Chris Jefferies",23,203.2,97.52228,51,3.9,1.2,0.4,-7.4,0.025,0.081,0.176,0.463,0.057,"2002-03"
"Chris Andersen",24,208.28,99.79024,59,5.2,4.6,0.5,-7.3,0.129,0.214,0.194,0.44,0.066,"2002-03"
"Cherokee Parks",30,210.82,108.86208,30,6.3,4.4,0.7,-15.3,0.082,0.165,0.141,0.523,0.055,"2002-03"
"Chauncey Billups",26,190.5,91.625584,74,16.2,3.7,3.9,4,0.019,0.124,0.24,0.582,0.238,"2002-03"
"Charlie Ward",32,187.96,83.91452,66,7.2,2.7,4.6,1.8,0.019,0.122,0.165,0.54,0.326,"2002-03"
"Casey Jacobsen",22,198.12,97.52228,72,5.1,1.2,1,4.3,0.028,0.054,0.166,0.493,0.101,"2002-03"
"Caron Butler",23,200.66,98.429464,78,15.4,5.1,2.7,-7.6,0.053,0.11,0.229,0.502,0.14,"2002-03"
"Carlos Boozer",21,205.74,127.00576,81,10,7.5,1.3,-11.9,0.108,0.231,0.17,0.577,0.09,"2002-03"
"Carlos Arroyo",23,187.96,91.625584,44,2.8,0.6,1.2,-2.3,0.045,0.062,0.239,0.51,0.319,"2002-03"
"Calvin Booth",27,210.82,104.779752,47,2.9,2.3,0.3,3.5,0.066,0.151,0.134,0.494,0.033,"2002-03"
"Calbert Cheaney",31,200.66,98.429464,81,8.6,3.5,2,4.9,0.04,0.106,0.158,0.514,0.113,"2002-03"
"Bryon Russell",32,200.66,102.0582,70,4.5,3,1,-3.2,0.036,0.146,0.134,0.468,0.089,"2002-03"
"Charles Oakley",39,205.74,112.490816,42,1.8,2.5,1,1.6,0.083,0.18,0.085,0.529,0.127,"2002-03"
"Chris Webber",30,208.28,111.13004,67,23,10.5,5.4,7.5,0.07,0.215,0.303,0.485,0.238,"2002-03"
"Chris Whitney",31,182.88,79.3786,51,7,1.3,2.8,-12.1,0.003,0.075,0.19,0.468,0.245,"2002-03"
"Chris Wilcox",20,208.28,100.243832,46,3.7,2.3,0.5,3.2,0.08,0.16,0.18,0.528,0.076,"2002-03"
"Darius Miles",21,205.74,95.25432,67,9.2,5.4,2.6,-9.9,0.062,0.138,0.191,0.435,0.148,"2002-03"
"Danny Ferry",36,208.28,106.59412,64,1.9,1.2,0.3,2.5,0.039,0.107,0.119,0.459,0.055,"2002-03"
"Dan Langhi",25,210.82,99.79024,60,3.1,1.5,0.4,11.1,0.039,0.148,0.192,0.434,0.061,"2002-03"
"Dan Gadzuric",25,210.82,108.86208,49,3.4,4,0.2,-2.3,0.099,0.198,0.119,0.498,0.018,"2002-03"
"Dan Dickau",24,182.88,86.18248,50,3.7,0.9,1.7,-14.5,0.019,0.078,0.201,0.504,0.292,"2002-03"
"Damon Stoudamire",29,177.8,77.564232,59,6.9,2.6,3.5,4.4,0.036,0.106,0.187,0.46,0.246,"2002-03"
"Damon Jones",26,190.5,83.91452,49,4.6,1.4,1.6,3,0.017,0.086,0.155,0.505,0.166,"2002-03"
"Dale Davis",34,210.82,114.305184,78,7.4,7.2,1.2,3.1,0.125,0.175,0.12,0.566,0.064,"2002-03"
"Dajuan Wagner",20,190.5,90.7184,47,13.4,1.7,2.8,-9.5,0.016,0.051,0.238,0.466,0.169,"2002-03"
"Cuttino Mobley",27,193.04,95.25432,73,17.5,4.2,2.8,1.6,0.027,0.087,0.205,0.537,0.121,"2002-03"
"Courtney Alexander",26,195.58,92.98636,66,7.9,1.8,1.2,-0.3,0.033,0.068,0.214,0.459,0.105,"2002-03"
"Corliss Williamson",29,200.66,111.13004,82,12,4.4,1.3,8.1,0.082,0.121,0.249,0.515,0.099,"2002-03"
"Corie Blount",34,208.28,109.769264,50,3,4.1,1,0.1,0.095,0.187,0.104,0.502,0.087,"2002-03"
"Corey Maggette",23,198.12,103.418976,64,16.8,5,1.9,-6.7,0.043,0.137,0.244,0.564,0.112,"2002-03"
"Clifford Robinson",36,208.28,102.0582,81,12.2,3.9,3.3,3.2,0.033,0.102,0.205,0.477,0.175,"2002-03"
"Clar. Weatherspoon",32,200.66,122.46984,79,6.6,7.6,0.9,-2.8,0.117,0.224,0.128,0.522,0.053,"2002-03"
"Chucky Atkins",28,180.34,72.57472,65,7.1,1.5,2.7,4.6,0.017,0.064,0.191,0.475,0.22,"2002-03"
"Christian Laettner",33,210.82,111.13004,76,8.3,6.6,3.1,-0.4,0.062,0.206,0.143,0.545,0.175,"2002-03"
"Bruce Bowen",32,200.66,90.7184,82,7.1,2.9,1.4,8.9,0.029,0.076,0.108,0.563,0.068,"2002-03"
"Darrell Armstrong",35,185.42,81.64656,82,9.4,3.6,3.9,0.9,0.043,0.102,0.167,0.53,0.219,"2002-03"
"Brian Skinner",27,205.74,120.20188,77,6,4.8,0.2,-0.9,0.115,0.204,0.151,0.574,0.024,"2002-03"
"Brian Scalabrine",25,205.74,108.86208,59,3.1,2.4,0.8,0.5,0.061,0.167,0.146,0.487,0.103,"2002-03"
"Anthony Mason",36,203.2,115.66596,65,7.2,6.4,3.2,-3.3,0.05,0.183,0.117,0.524,0.15,"2002-03"
"Anthony Johnson",28,190.5,86.18248,66,4.1,1.2,1.3,1.4,0.018,0.089,0.171,0.512,0.183,"2002-03"
"Anthony Carter",28,187.96,88.45044,49,4.1,1.7,4.1,-7.2,0.015,0.09,0.171,0.39,0.366,"2002-03"
"Antawn Jamison",27,205.74,101.151016,82,22.2,7,1.9,-2.3,0.064,0.125,0.244,0.542,0.085,"2002-03"
"Ansu Sesay",26,205.74,102.0582,45,2.1,1.6,0.5,-7.7,0.082,0.094,0.149,0.404,0.097,"2002-03"
"Anfernee Hardaway",31,200.66,97.52228,58,10.6,4.4,4.1,0.5,0.043,0.123,0.192,0.499,0.21,"2002-03"
"Andrew DeClercq",30,208.28,115.66596,77,4.7,4.4,0.7,4.5,0.122,0.179,0.137,0.562,0.061,"2002-03"
"Andrei Kirilenko",22,205.74,102.0582,80,12,5.3,1.7,2.1,0.083,0.145,0.194,0.598,0.11,"2002-03"
"Andre Miller",27,187.96,90.7184,80,13.6,4,6.7,-5.3,0.033,0.089,0.201,0.495,0.309,"2002-03"
"Anthony Peeler",33,193.04,94.347136,82,7.7,2.9,3,1.7,0.021,0.098,0.145,0.499,0.158,"2002-03"
"Amar'e Stoudemire",20,208.28,111.13004,82,13.5,8.8,1,-0.8,0.109,0.206,0.214,0.53,0.05,"2002-03"
"Alvin Williams",28,195.58,83.91452,78,13.2,3.1,5.3,-5.7,0.023,0.087,0.197,0.508,0.266,"2002-03"
"Allen Iverson",28,182.88,74.84268,82,27.6,4.2,5.5,1.8,0.022,0.095,0.327,0.5,0.248,"2002-03"
"Allan Houston",32,198.12,90.7184,82,22.5,2.8,2.7,-1.6,0.01,0.079,0.269,0.563,0.129,"2002-03"
"Alan Henderson",30,205.74,108.86208,82,4.8,4.9,0.5,-7.2,0.12,0.182,0.135,0.508,0.046,"2002-03"
"Al Harrington",23,205.74,113.398,82,12.2,6.2,1.5,2.8,0.075,0.162,0.218,0.493,0.089,"2002-03"
"Adrian Griffin",28,195.58,104.32616,74,4.4,3.6,1.4,8.1,0.07,0.145,0.131,0.463,0.111,"2002-03"
"Adonal Foyle",28,208.28,120.20188,82,5.4,6,0.5,3.7,0.109,0.182,0.113,0.563,0.032,"2002-03"
"Aaron Williams",31,205.74,108.86208,81,6.2,4.1,1.1,1,0.099,0.136,0.165,0.504,0.092,"2002-03"
"Antoine Walker",26,205.74,111.13004,78,20.1,7.2,4.8,1.5,0.033,0.168,0.277,0.467,0.226,"2002-03"
"Antonio Daniels",28,193.04,92.98636,67,3.7,1.1,1.3,0.7,0.015,0.087,0.135,0.572,0.155,"2002-03"
"Brian Grant",31,205.74,115.212368,82,10.3,10.2,1.3,-6,0.104,0.275,0.16,0.552,0.07,"2002-03"
"Brevin Knight",27,177.8,77.11064,55,3.9,1.5,4.2,-4.7,0.019,0.082,0.165,0.442,0.403,"2002-03"
"Brent Barry",31,198.12,92.079176,75,10.3,4,5.1,-0.5,0.022,0.124,0.149,0.597,0.241,"2002-03"
