LOCATION,DATE,T_MAX,T_MIN,T_MEAN,WEEKDAY,IS_HOLIDAY,HOLIDAY_NAME,TOTAL_DEMAND,DEMAND_LAG1,DEMAND_LAG7
Bankstown,2010-01-01,28.8,22.1,25.09,5,1,New Year's Day,374464.94,,
Bankstown,2010-01-02,29.4,21.6,24.77,6,0,,384838.07,374464.94,
Bankstown,2010-01-03,21.5,17.9,19.43,7,0,,355195.18,384838.07,
Bankstown,2010-01-04,23.9,17.9,20.63,1,0,,395602.57,355195.18,
Bankstown,2010-01-05,27.7,15.4,22.66,2,0,,423735.03,395602.57,
Bankstown,2010-01-06,25.6,20.3,22.68,3,0,,433042.65,423735.03,
Bankstown,2010-01-07,23.6,20.5,21.88,4,0,,411208.68,433042.65,
Bankstown,2010-01-08,26.3,19.7,22.88,5,0,,428486.93,411208.68,374464.94
Bankstown,2010-01-09,36.3,18.3,27.42,6,0,,443638.09,428486.93,384838.07
Bankstown,2010-01-10,29.5,22.1,25.3,7,0,,436849.95,443638.09,355195.18
Bankstown,2010-01-11,26.4,21.7,23.7,1,0,,460042.56,436849.95,395602.57
Bankstown,2010-01-12,32.0,23.1,26.94,2,0,,515344.46,460042.56,423735.03
Bankstown,2010-01-13,27.1,19.0,23.47,3,0,,469035.36,515344.46,433042.65
Bankstown,2010-01-14,22.3,19.3,20.29,4,0,,422902.33,469035.36,411208.68
Bankstown,2010-01-15,25.0,19.7,22.05,5,0,,431459.14,422902.33,428486.93
Bankstown,2010-01-16,27.2,20.9,23.51,6,0,,401807.19,431459.14,443638.09
Bankstown,2010-01-17,26.6,17.3,21.99,7,0,,379940.96,401807.19,436849.95
Bankstown,2010-01-18,24.8,14.7,20.79,1,0,,409269.07,379940.96,460042.56
Bankstown,2010-01-19,25.3,14.5,19.55,2,0,,409301.24,409269.07,515344.46
Bankstown,2010-01-20,31.2,12.0,21.93,3,0,,430673.45,409301.24,469035.36
Bankstown,2010-01-21,31.0,17.4,23.66,4,0,,477981.66,430673.45,422902.33
Bankstown,2010-01-22,36.2,21.2,27.57,5,0,,515780.37,477981.66,431459.14
Bankstown,2010-01-23,41.1,21.2,28.21,6,0,,459807.02,515780.37,401807.19
Bankstown,2010-01-24,23.0,17.7,20.75,7,0,,387132.89,459807.02,379940.96
Bankstown,2010-01-25,27.7,19.2,23.47,1,0,,446616.84,387132.89,409269.07
Bankstown,2010-01-26,32.1,23.1,26.36,2,1,Australia Day,446158.6,446616.84,409301.24
Bankstown,2010-01-27,26.6,21.9,23.68,3,0,,459424.42,446158.6,430673.45
Bankstown,2010-01-28,27.1,20.5,23.16,4,0,,454777.78,459424.42,477981.66
Bankstown,2010-01-29,27.4,18.0,22.72,5,0,,451053.64,454777.78,515780.37
