"Correct","Sleep_diff","Study_hours"
40,-0.416666666666667,6
29,3,1
24,9.66666666666666,8
33,3,3
31,2.16666666666667,12
38,0.25,3
31,4.33333333333333,5
40,2.41666666666667,7
50,1.58333333333333,8
42,0.75,3
48,8.5,10
18,6.75,7
22,8.75,6
51,4.25,5
40,2.16666666666667,6
30,1.25,8
29,1.66666666666667,5
41,8.25,8
24,4.66666666666667,12
24,4.85,24
50,0.5,6
44,1.5,8
34,7.08333333333333,2
28,3,6
48,3.11666666666666,5
40,1,9
32,3.05,7
41,1.5,3
32,2,4
34,5.56666666666667,8
42,1.66666666666667,7
33,6.75,6
27,2.61666666666666,6
28,1.33333333333333,4
41,8,4
39,0.999999999999999,3
40,3,5
28,6.58333333333333,15
38,6.99999999999999,4
24,4.16666666666667,5
40,6.58333333333333,5
30,2.41666666666666,6
34,2.83333333333333,15
35,3.33333333333333,10
37,3.01666666666667,4
36,2.91666666666667,5
48,3.66666666666667,7
32,3.5,2
27,5.5,5
34,2,6
27,9.5,9
32,6.83333333333333,4
43,1.25,4
54,0.083333333333333,6
46,0,4
31,1.08333333333333,8
27,9.66666666666667,16
30,4.25,9
43,7.16666666666667,23
32,0,1
32,1.5,5
35,4.26666666666667,16
30,-1.5,6
48,0,18
38,6.16666666666667,15
42,4.81666666666667,24
47,4.4,12
39,2.33333333333333,15
43,2.5,10
34,8.5,6
28,2.75,8
46,3.5,6
32,1.41666666666667,6
19,-2.75,9
36,2.75,5
26,7.5,8
25,9.66666666666667,4
35,6.75,8
32,3.33333333333333,8
43,1,8
42,0,5
27,5,15
29,7.98333333333333,8
53,0.766666666666666,7.3
29,2.5,7
28,4.5,24
39,6.01666666666667,16
48,5.91666666666667,17
50,0,8
50,0.999999999999999,8
35,0.5,1
31,-0.916666666666666,3
37,1.63333333333333,10
35,6.33333333333333,4
34,2,5
34,6.16666666666667,1
40,2.66666666666667,15
36,7.25,2
43,1.58333333333333,8
34,4,12
45,2.58333333333333,2
42,-2.5,8
40,6,12
38,0.41666666666667,1
50,2,10
40,4.5,12
33,-0.983333333333334,6
41,4.08333333333333,12
49,1.83333333333333,5
40,3,16
38,1.66666666666666,4
38,-4.25,4
38,4.93333333333333,20
26,2.96666666666667,10
38,2,12
39,-1,24
47,4.41666666666667,6
35,1.05,4
47,3.33333333333333,8.5
43,-0.16666666666667,5
42,3.41666666666667,15
37,2.08333333333334,14
51,1.75,5
47,9,10
37,9.58333333333333,5
36,-0.75,7
52,-0.16666666666667,15
30,5.41666666666667,6
40,0.66666666666667,12
41,4.45,8
43,2.66666666666666,5
44,0.5,4
37,4.75,15
46,2.66666666666667,4
32,3.75,3
34,1.5,13
46,1.5,6
47,5.13333333333334,10
45,-0.5,10
39,5.33333333333333,4
40,-0.583333333333334,6
38,4.5,1
24,-0.41666666666667,8
28,0.0833333333333304,3
29,3.66666666666666,10
39,3.41666666666667,9
41,-2.16666666666667,6
33,-0.5,2
33,-0.833333333333333,5
29,0.833333333333332,3
45,4.16666666666667,8
41,1.25,7
38,6.66666666666667,8
38,4,5
36,3.66666666666667,3
37,-0.333333333333333,6
45,-0.833333333333338,8
38,1.16666666666666,4
21,5.83333333333333,6
36,1.16666666666667,6
39,-1.33333333333333,5
50,0.25,4
38,3.58333333333333,10
43,0,20
40,5.25,24
53,0.75,7
39,1,3
45,0.75,5
55,1.5,8
49,2,8
45,-2.03333333333333,5
48,3.5,16
37,3.58333333333333,9
35,3.75,6
27,2.33333333333333,6
44,1.16666666666667,12
48,3.66666666666667,10
37,4.33333333333333,8
46,-0.916666666666663,5
49,7.16666666666667,7
48,6.08333333333333,6
21,-0.5,12
35,0,5
48,-1.5,5
28,2.33333333333333,24
39,4.75,6
32,0.5,6
48,7.83333333333333,10
45,0.916666666666667,8
39,-0.083333333333333,6
31,1.91666666666667,8
34,0.499999999999999,8
47,4.83333333333334,6
33,0,3
34,1.16666666666667,12
54,6.5,6
30,4.5,5
26,2,4
32,0.66666666666667,4
34,4.66666666666667,10
32,3.33333333333334,12
42,8.08333333333333,7
37,3.91666666666667,8
50,1.33333333333333,7
54,0,8
44,-1,5
34,1.33333333333333,2
47,2.16666666666667,2
48,0.716666666666669,7
44,2.16666666666666,6
32,11.75,16
35,1.58333333333333,1
23,0.166666666666666,8
48,-1.26666666666667,10
36,-0.5,12
48,1.33333333333333,5
49,1.5,10
51,2,18
46,-0.25,4
47,-1.66666666666667,9
37,10.3333333333333,4
42,3.51666666666667,20
37,2,3
53,0.5,5
43,0.166666666666666,7
33,-0.166666666666667,10
41,4,12
45,7.43333333333333,10
29,2,14
40,-0.399999999999999,6
27,0,4
37,7.5,20
39,0.25,12
35,3.16666666666667,5
36,4.88333333333333,8
36,2.25,3
52,-1,20
37,5.25,5
37,2.33333333333333,6
39,1.83333333333333,10
47,-5.32907051820075e-15,3
40,4.33333333333333,6
46,1.5,12
39,3,15
35,-2.16666666666667,24
35,5.5,10
31,3.33333333333333,5
42,-1.5,3
42,0.583333333333331,4
43,3.85,12
38,2.25,4
34,0.750000000000001,8
